Phi,NSS,ChiSq,p_av,p_sd,p_sk,p_ku,H_av,H_sd,H_sk,H_ku,S,si_av,si_sd,si_sk,si_ku
1.59e-01,8.1881e-01,55.7,1.67384105960265,0.787681114190164,1.65670165360507,3.6291613587684,0.141265512827648,0.179395479802102,1.51509649043011,2.83041148683203,304,85.3243697478992,47.7386511946043,1.3030532120123,1.83719003790393
1.03e-01,8.4752e-01,36.7,2.07781456953642,0.962322242321085,1.58297610872335,3.00664430223084,0.180552618398354,0.188848621012014,1.47312399202323,2.59392240068036,413,109.053781512605,38.6150638736889,1.90696732093678,4.37591908560902
2.89e-01,8.2268e-01,154.3,2.01655629139073,0.864910550332408,1.63024480233004,3.35047168134331,0.29201680672269,0.238702636290484,1.19668951332135,1.50870708232207,421,176.378151260504,80.7850339326941,1.45645605221085,2.42435956413374
1.40e-01,8.2290e-01,46.8,1.82119205298013,0.852235802919532,1.70603180819936,3.94170487067614,0.14651065724303,0.175032750545827,1.62502201873517,3.38248097398964,353,88.4924369747899,27.4004451894885,2.03628131579135,5.09648038956965
7.39e-02,9.0435e-01,87.5,2.38576158940397,1.01570250186728,1.64134438745024,3.33905977627709,0.294838332684067,0.214925002082535,1.31218309633406,1.86418890643418,491,178.082352941176,123.837715469137,1.19246830118884,1.46448458021512
1.49e-01,8.5331e-01,265.9,2.64569536423841,0.996831742618124,1.58430634842035,3.04370617354103,0.356168957649284,0.212850527371956,1.3579394162038,1.96882669861033,539,215.126050420168,126.794756049735,1.29080284889612,1.81192836089678
2.83e-01,7.3933e-01,171.9,2.94370860927152,1.18495402760688,1.62730204359899,3.24425326999251,0.358514664143804,0.225104722511776,1.30148999686242,1.82720745830645,545,216.542857142857,100.100366919322,1.42951102251393,2.25516496089177
3.27e-01,7.6063e-01,37.5,1.24337748344371,0.483542922777807,2.12338267642151,6.46086960145746,0.0715482219377817,0.157304058447609,2.22479072553372,5.88929124883635,133,43.2151260504202,20.5397938779126,1.36397236744251,2.09316172224631
3.82e-02,9.3971e-01,10.7,1.66390728476821,0.796071873947307,1.68156152948357,3.74123786096444,0.152660136902443,0.206103149147508,1.47562506113756,2.55560881067511,297,92.2067226890756,47.8045315019024,1.29340941959909,1.87175248035519
1.60e-01,8.3515e-01,117.0,2.76655629139073,1.0933910713513,1.65080303087172,3.35943480962926,0.267925315821693,0.183585158327087,1.40748116350738,2.23633219648672,541,161.826890756303,112.735931278617,1.45956646474212,2.44862034661293
3.91e-01,7.1727e-01,126.3,2.65894039735099,1.13182566714949,1.55510199746999,2.83154346500637,0.340497523512717,0.232630264630734,1.28755127977129,1.74583404365558,515,205.660504201681,87.0288604873635,1.53427796735243,2.70769334801279
2.14e-01,7.7666e-01,102.4,2.27980132450331,1.05456558345111,1.70069548551658,3.72654401578145,0.21529856975903,0.188065724890802,1.43348463371495,2.347996321975,457,130.040336134454,58.5421349651135,1.42233714646611,2.25949103115496
4.33e-01,7.1993e-01,131.4,2.82781456953642,1.23691342726268,1.54588770725476,2.83319527811962,0.347111692359064,0.249377206714397,1.18922068701601,1.48860326781832,516,209.655462184874,89.4132354399795,1.45254789274817,2.47384297591819
1.69e-01,8.1710e-01,72.0,2.03311258278146,0.920100905372255,1.53639381130656,2.78266733954893,0.229709499693918,0.223225277554396,1.25616069967174,1.73399918239216,407,138.744537815126,61.8886933884066,1.57639225960556,2.84137564045235
2.10e-01,8.3893e-01,71.2,2.19370860927152,1.03445293210171,1.64026401156281,3.54041277089989,0.281111914964661,0.253632284916464,1.1442821370089,1.3763934418996,428,169.791596638655,96.3725976429106,1.21912841625044,1.6323738673652
0.00e+00,1.0000e+00,6.8,1.11920529801324,0.334092669023296,2.69837535786869,8.7934457512258,0.0273804886192888,0.0904125895193762,3.92797854970125,18.5673932508012,70,16.5378151260504,12.1904976880268,1.34059094430092,1.86376709769759
1.39e-01,8.4194e-01,68.5,2.13907284768212,0.956260203853888,1.67663781709752,3.47924128489467,0.233805442706885,0.217254417268252,1.29655681813257,1.87687888723404,440,141.218487394958,75.8398755078076,1.41286203154002,2.14464153176352
3.24e-01,7.8114e-01,147.7,2.78476821192053,1.17367641920708,1.61143213605007,3.18487336211836,0.397782291724637,0.230403176608429,1.39287003142429,2.07712761035224,528,240.260504201681,122.9961851007,1.32365031987005,1.90656521856176
